date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,wind_gusts_10m
2018-11-01 00:00:00+00:00,9.2285,1001.4459,0.2,9.346143,15.4800005
2018-11-01 01:00:00+00:00,9.0785,1001.04565,0.0,7.5170207,16.56
2018-11-01 02:00:00+00:00,9.2285,1000.64844,0.1,7.771331,13.679999
2018-11-01 03:00:00+00:00,8.8285,1000.2453,0.4,4.3498964,13.679999
2018-11-01 04:00:00+00:00,8.7285,999.94495,0.5,5.937272,7.5599995
2018-11-01 05:00:00+00:00,8.4285,999.7425,0.3,6.763786,8.64
2018-11-01 06:00:00+00:00,8.4285,999.84216,0.1,6.162207,8.64
2018-11-01 07:00:00+00:00,8.0785,999.9378,0.0,5.506941,9.36
2018-11-01 08:00:00+00:00,9.1285,1000.44775,0.0,7.9526596,14.04
2018-11-01 09:00:00+00:00,9.778501,1000.9537,0.4,8.049845,16.56
2018-11-01 10:00:00+00:00,10.2285,1000.95844,1.2,6.763786,14.759999
2018-11-01 11:00:00+00:00,11.028501,1001.0673,1.4,7.42159,19.44
2018-11-01 12:00:00+00:00,10.3285,1001.25885,0.4,9.387651,20.519999
2018-11-01 13:00:00+00:00,10.2285,1001.756,0.2,11.91812,23.039999
2018-11-01 14:00:00+00:00,10.3285,1001.9566,0.1,14.113652,27.0
2018-11-01 15:00:00+00:00,9.6785,1002.84656,0.0,15.1884165,29.16
2018-11-01 16:00:00+00:00,8.9285,1003.93463,0.0,14.277983,29.16
2018-11-01 17:00:00+00:00,7.9285,1005.0201,0.0,13.397612,26.28
2018-11-01 18:00:00+00:00,7.1785,1006.3075,0.0,12.287555,24.119999
2018-11-01 19:00:00+00:00,6.2285004,1007.2933,0.0,10.315115,22.319998
2018-11-01 20:00:00+00:00,5.2785,1008.379,0.0,9.178235,18.359999
2018-11-01 21:00:00+00:00,4.4285,1009.36597,0.0,8.557102,16.919998
2018-11-01 22:00:00+00:00,3.6785,1010.1547,0.0,7.8625183,15.84
2018-11-01 23:00:00+00:00,3.2784998,1011.047,0.0,8.557102,15.4800005
2018-11-02 00:00:00+00:00,3.5785,1011.94763,0.0,10.365251,16.199999
2018-11-02 01:00:00+00:00,3.0284998,1012.8383,0.0,9.565437,18.359999
2018-11-02 02:00:00+00:00,2.5785,1013.82965,0.0,8.654986,17.28
2018-11-02 03:00:00+00:00,2.1785,1014.7221,0.0,8.12197,15.84
2018-11-02 04:00:00+00:00,1.8285,1015.615,0.0,7.2805495,14.4
2018-11-02 05:00:00+00:00,1.5285001,1016.40894,0.0,7.5942073,13.679999
2018-11-02 06:00:00+00:00,1.3785,1017.4039,0.0,7.5685663,13.32
2018-11-02 07:00:00+00:00,1.4784999,1018.5015,0.0,8.311245,14.759999
2018-11-02 08:00:00+00:00,2.7285,1019.41364,0.0,7.9526596,14.4
2018-11-02 09:00:00+00:00,4.7285004,1020.33435,0.0,9.0,18.72
2018-11-02 10:00:00+00:00,6.8285003,1020.9568,0.0,9.0645685,20.519999
2018-11-02 11:00:00+00:00,8.4785,1021.2747,0.0,8.707238,20.880001
2018-11-02 12:00:00+00:00,9.6785,1021.787,0.0,8.311245,20.519999
2018-11-02 13:00:00+00:00,10.278501,1022.19244,0.0,8.64,20.16
2018-11-02 14:00:00+00:00,10.3785,1022.3931,0.0,9.36,20.519999
2018-11-02 15:00:00+00:00,10.028501,1022.98706,0.0,6.5693827,19.8
2018-11-02 16:00:00+00:00,7.1285,1023.4524,0.0,8.0899935,12.599999
2018-11-02 17:00:00+00:00,5.0785003,1024.0265,0.0,9.178235,12.959999
2018-11-02 18:00:00+00:00,4.8285003,1024.3226,0.0,7.145796,12.599999
2018-11-02 19:00:00+00:00,3.5785,1025.0057,0.0,7.5942082,12.24
2018-11-02 20:00:00+00:00,2.7285,1025.195,0.0,8.654987,12.24
2018-11-02 21:00:00+00:00,2.4285,1025.0918,0.0,8.373386,12.959999
2018-11-02 22:00:00+00:00,3.0284998,1025.0989,0.0,6.9527545,12.24
2018-11-02 23:00:00+00:00,4.2285004,1024.9136,0.0,6.5693827,12.24
2018-11-03 00:00:00+00:00,5.3285003,1024.7274,0.0,8.825508,12.959999
2018-11-03 01:00:00+00:00,5.0785003,1024.2258,0.0,8.647496,15.119999
2018-11-03 02:00:00+00:00,5.6785,1023.7345,0.0,10.105681,17.28
