date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,wind_gusts_10m
2023-09-01 00:00:00+00:00,14.4785,1005.9894,0.0,5.495161,8.28
2023-09-01 01:00:00+00:00,14.9285,1005.6951,0.2,5.991594,13.32
2023-09-01 02:00:00+00:00,14.8785,1005.0966,0.4,4.452954,13.679999
2023-09-01 03:00:00+00:00,14.5785,1005.1932,0.1,3.7064266,8.28
2023-09-01 04:00:00+00:00,14.8285,1005.096,0.0,3.4152596,5.7599998
2023-09-01 05:00:00+00:00,15.1285,1005.0991,0.0,2.6208394,5.04
2023-09-01 06:00:00+00:00,15.4285,1005.4017,0.0,1.484318,5.04
2023-09-01 07:00:00+00:00,16.078499,1005.7077,0.0,2.1897945,6.4799995
2023-09-01 08:00:00+00:00,16.978498,1006.116,0.0,1.5273507,7.5599995
2023-09-01 09:00:00+00:00,17.6785,1006.6217,0.0,3.6,10.08
2023-09-01 10:00:00+00:00,18.478498,1007.02893,0.0,2.9024127,10.799999
2023-09-01 11:00:00+00:00,19.1785,1007.03625,0.0,2.1897945,10.440001
2023-09-01 12:00:00+00:00,19.7785,1007.5411,0.1,4.452954,10.440001
2023-09-01 13:00:00+00:00,20.5285,1007.94775,0.3,4.0249224,16.199999
2023-09-01 14:00:00+00:00,21.328499,1008.15533,0.0,2.6208394,15.4800005
2023-09-01 15:00:00+00:00,21.478498,1007.9576,0.1,3.8268526,13.32
2023-09-01 16:00:00+00:00,21.578499,1008.15784,0.0,3.8773184,12.959999
2023-09-01 17:00:00+00:00,21.1785,1008.75195,0.1,4.829907,11.879999
2023-09-01 18:00:00+00:00,20.078499,1009.239,0.1,3.096837,10.799999
2023-09-01 19:00:00+00:00,17.8785,1009.9139,0.0,6.151683,6.8399997
2023-09-01 20:00:00+00:00,17.1285,1010.6038,0.0,5.1165614,8.64
2023-09-01 21:00:00+00:00,17.1785,1011.2026,0.0,7.653705,12.24
2023-09-01 22:00:00+00:00,16.2785,1011.4918,0.0,6.830519,12.599999
2023-09-01 23:00:00+00:00,15.528501,1011.98236,0.0,7.172949,12.24
2023-09-02 00:00:00+00:00,15.6785,1012.6819,0.0,7.8954163,13.679999
