date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,wind_gusts_10m
2019-04-01 00:00:00+00:00,4.0285,1022.2201,0.0,14.336861,26.28
2019-04-01 01:00:00+00:00,3.8785,1021.919,0.0,13.783817,25.919998
2019-04-01 02:00:00+00:00,3.7784998,1021.4197,0.0,14.021525,26.28
2019-04-01 03:00:00+00:00,3.6785,1021.01984,0.0,13.493999,25.919998
2019-04-01 04:00:00+00:00,3.6285,1020.72003,0.0,14.003028,25.919998
2019-04-01 05:00:00+00:00,3.6285,1020.2216,0.0,14.336861,26.28
2019-04-01 06:00:00+00:00,3.7285,1019.8242,0.0,13.684735,26.28
2019-04-01 07:00:00+00:00,5.0785003,1019.6405,0.0,13.608762,26.28
2019-04-01 08:00:00+00:00,6.8285003,1019.5613,0.0,17.072504,32.760002
2019-04-01 09:00:00+00:00,8.278501,1019.2788,0.0,16.179985,37.44
2019-04-01 10:00:00+00:00,9.6285,1018.6961,0.0,15.716793,34.56
2019-04-01 11:00:00+00:00,10.778501,1017.812,0.0,16.055353,35.28
2019-04-01 12:00:00+00:00,12.1785,1017.0301,0.0,13.896187,35.28
2019-04-01 13:00:00+00:00,12.778501,1016.1395,0.0,13.358861,31.68
2019-04-01 14:00:00+00:00,13.0785,1015.1459,0.0,12.864649,30.599998
2019-04-01 15:00:00+00:00,12.9285,1014.1474,0.0,12.979984,29.16
2019-04-01 16:00:00+00:00,12.4285,1013.3441,0.0,13.5515,28.8
2019-04-01 17:00:00+00:00,11.4285,1012.83484,0.0,12.371645,28.08
2019-04-01 18:00:00+00:00,9.6785,1012.3168,0.0,9.746631,24.84
2019-04-01 19:00:00+00:00,7.5285,1012.1927,0.0,9.007196,18.359999
2019-04-01 20:00:00+00:00,6.3285003,1011.68054,0.0,7.9526596,16.199999
2019-04-01 21:00:00+00:00,5.3785,1011.1711,0.0,6.0347,14.04
2019-04-01 22:00:00+00:00,4.1285,1009.96063,0.0,6.489992,10.799999
2019-04-01 23:00:00+00:00,3.4785,1008.95624,0.0,6.12,9.72
2019-04-02 00:00:00+00:00,4.9785004,1007.87714,0.0,2.6208394,8.28
2019-04-02 01:00:00+00:00,5.5285,1006.88666,0.0,3.9763298,5.04
2019-04-02 02:00:00+00:00,5.2285004,1005.9861,0.0,4.8433046,6.12
2019-04-02 03:00:00+00:00,2.2784998,1004.9549,0.0,7.42159,10.440001
2019-04-02 04:00:00+00:00,2.5284998,1003.86127,0.0,5.5887027,10.440001
2019-04-02 05:00:00+00:00,2.4285,1002.9632,0.0,6.12,10.440001
2019-04-02 06:00:00+00:00,3.3785,1002.17676,0.0,5.6002855,10.799999
2019-04-02 07:00:00+00:00,5.2785,1001.7004,0.1,7.10031,15.119999
2019-04-02 08:00:00+00:00,6.8285003,1001.1199,0.1,12.224107,24.48
2019-04-02 09:00:00+00:00,7.9285,1000.8333,0.3,14.007655,28.44
2019-04-02 10:00:00+00:00,7.1285,1000.8243,0.5,14.003029,28.8
2019-04-02 11:00:00+00:00,6.8785,1000.622,0.9,12.371645,28.44
2019-04-02 12:00:00+00:00,6.5785003,1000.1202,0.5,18.59845,28.8
2019-04-02 13:00:00+00:00,5.8785,1000.0127,0.6,12.594856,36.0
2019-04-02 14:00:00+00:00,7.4285,999.33246,0.1,14.168641,29.519999
2019-04-02 15:00:00+00:00,8.2285,999.14185,0.1,13.339445,35.64
2019-04-02 16:00:00+00:00,8.3285,998.44525,0.0,11.304229,35.28
2019-04-02 17:00:00+00:00,6.8785,998.5287,0.2,15.629972,33.12
2019-04-02 18:00:00+00:00,6.0285,998.519,0.1,8.311245,30.239998
2019-04-02 19:00:00+00:00,4.7285004,998.5043,0.2,6.519877,16.199999
2019-04-02 20:00:00+00:00,4.0285,998.2968,0.0,5.771239,11.5199995
2019-04-02 21:00:00+00:00,2.8785,997.98425,0.0,5.6920996,9.72
2019-04-02 22:00:00+00:00,1.8785,997.87305,0.0,5.991594,10.08
2019-04-02 23:00:00+00:00,1.6285,997.87024,0.0,5.904439,9.0
2019-04-03 00:00:00+00:00,1.1285,997.964,0.0,6.9527545,9.0
2019-04-03 01:00:00+00:00,0.6285,997.4597,0.0,6.4799995,10.440001
2019-04-03 02:00:00+00:00,-0.0715,997.1525,0.0,6.725354,9.72
2019-04-03 03:00:00+00:00,-0.4215,996.7494,0.0,6.3690495,9.72
2019-04-03 04:00:00+00:00,-0.4215,996.55005,0.0,5.495161,9.72
2019-04-03 05:00:00+00:00,-1.2214999,996.24164,0.0,7.0911775,10.08
2019-04-03 06:00:00+00:00,-1.0715001,996.14355,0.0,5.634891,10.440001
2019-04-03 07:00:00+00:00,1.2284999,996.5697,0.0,5.3517847,12.599999
2019-04-03 08:00:00+00:00,3.1285,996.4923,0.0,4.8965297,14.759999
2019-04-03 09:00:00+00:00,4.7785,996.31165,0.0,7.289445,19.44
2019-04-03 10:00:00+00:00,5.7785,996.12384,0.1,6.696387,20.519999
2019-04-03 11:00:00+00:00,6.5285,995.7336,0.1,3.8773184,19.44
2019-04-03 12:00:00+00:00,7.1785,995.4419,0.1,3.7064266,15.84
2019-04-03 13:00:00+00:00,7.7785,995.04987,0.1,3.96,16.56
2019-04-03 14:00:00+00:00,8.1785,994.556,0.0,3.7585104,16.919998
2019-04-03 15:00:00+00:00,7.9785004,994.1548,0.0,2.1897945,16.919998
2019-04-03 16:00:00+00:00,6.9785004,994.2433,0.1,10.823973,20.880001
2019-04-03 17:00:00+00:00,4.7785,994.2184,0.0,12.181624,32.399998
2019-04-03 18:00:00+00:00,4.1785,994.2115,0.0,6.9527545,25.199999
2019-04-03 19:00:00+00:00,4.0285,993.9109,0.0,2.7416782,13.32
2019-04-03 20:00:00+00:00,2.4285,993.89246,0.0,5.3999996,6.8399997
2019-04-03 21:00:00+00:00,1.6784999,993.6844,0.0,5.4833565,10.440001
2019-04-03 22:00:00+00:00,1.4284999,993.68134,0.0,5.8603754,11.159999
2019-04-03 23:00:00+00:00,0.4785,993.47076,0.0,5.495161,10.799999
2019-04-04 00:00:00+00:00,1.1285,992.7808,0.0,6.9153743,10.08
2019-04-04 01:00:00+00:00,0.4785,992.27466,0.0,6.193674,12.24
2019-04-04 02:00:00+00:00,0.8285,991.58124,0.0,8.14587,15.119999
2019-04-04 03:00:00+00:00,1.0285001,991.08496,0.0,8.209263,15.119999
2019-04-04 04:00:00+00:00,1.2284999,990.88806,0.0,9.387651,17.28
2019-04-04 05:00:00+00:00,1.9284999,990.49756,0.0,10.787993,20.16
2019-04-04 06:00:00+00:00,2.5785,990.3056,0.0,11.841756,21.599998
2019-04-04 07:00:00+00:00,3.9785001,990.22217,0.2,15.546833,26.64
2019-04-04 08:00:00+00:00,4.9785004,989.9345,0.2,21.767351,37.8
2019-04-04 09:00:00+00:00,4.8285003,989.83295,0.5,22.057161,48.239998
2019-04-04 10:00:00+00:00,6.1785,989.9481,0.5,24.606731,49.32
2019-04-04 11:00:00+00:00,5.4285,990.53754,0.6,24.590923,50.76
2019-04-04 12:00:00+00:00,7.2785,990.4587,0.4,23.710857,57.6
