date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,wind_gusts_10m
2024-01-01 00:00:00+00:00,7.4785004,991.7571,0.0,28.696312,54.36
2024-01-01 01:00:00+00:00,7.2285004,992.95044,0.0,27.09822,51.839996
2024-01-01 02:00:00+00:00,7.0285,993.94476,0.0,26.368616,48.96
2024-01-01 03:00:00+00:00,7.0285,994.842,0.0,25.071096,47.16
2024-01-01 04:00:00+00:00,6.7785,995.83606,0.0,26.717722,47.88
2024-01-01 05:00:00+00:00,6.7785,996.63354,0.0,26.124195,48.96
2024-01-01 06:00:00+00:00,6.5285,997.52783,0.0,25.346148,46.8
2024-01-01 07:00:00+00:00,6.2285004,998.52124,0.0,22.19773,45.36
2024-01-01 08:00:00+00:00,6.0785003,999.51654,0.0,20.898611,39.239998
2024-01-01 09:00:00+00:00,6.3785,1000.31744,0.0,20.082708,37.079998
2024-01-01 10:00:00+00:00,6.9285,1000.6226,0.0,19.523155,36.0
2024-01-01 11:00:00+00:00,7.5285,1001.1277,0.0,18.472595,35.28
2024-01-01 12:00:00+00:00,8.1285,1001.035,0.0,14.529915,32.399998
2024-01-01 13:00:00+00:00,8.3285,1000.9374,0.0,14.336861,27.0
2024-01-01 14:00:00+00:00,8.278501,1000.239,0.0,14.658676,27.0
2024-01-01 15:00:00+00:00,8.3285,999.7412,0.1,13.138765,25.919998
2024-01-01 16:00:00+00:00,8.028501,998.6412,0.1,14.830076,26.64
2024-01-01 17:00:00+00:00,8.0785,997.1466,0.5,17.533146,30.960001
2024-01-01 18:00:00+00:00,8.6785,995.75757,0.6,24.490587,43.56
2024-01-01 19:00:00+00:00,8.9785,993.86694,1.1,26.319422,47.16
2024-01-01 20:00:00+00:00,9.3285,991.87726,2.0,27.397867,49.68
2024-01-01 21:00:00+00:00,9.5785,989.48724,1.9,28.100763,52.199997
2024-01-01 22:00:00+00:00,10.0785,987.49915,2.2,21.26744,49.32
2024-01-01 23:00:00+00:00,11.1785,985.2184,1.7,27.105392,48.239998
2024-01-02 00:00:00+00:00,12.1285,985.428,0.0,30.652895,55.079998
2024-01-02 01:00:00+00:00,12.1785,985.927,0.0,27.729347,49.32
2024-01-02 02:00:00+00:00,11.9285,986.323,0.0,26.474077,49.32
2024-01-02 03:00:00+00:00,11.0785,987.2109,0.0,24.36325,47.519997
2024-01-02 04:00:00+00:00,10.778501,987.6066,0.0,19.826164,43.56
2024-01-02 05:00:00+00:00,10.6785,987.3063,0.2,19.453327,35.64
