date,temperature_2m,surface_pressure,precipitation,wind_speed_10m,wind_gusts_10m
2018-12-01 00:00:00+00:00,6.2785,1007.6926,0.0,11.457958,24.48
2018-12-01 01:00:00+00:00,6.6285,1007.1983,0.0,10.691453,21.24
2018-12-01 02:00:00+00:00,6.2285004,1006.69525,0.0,8.534353,19.44
2018-12-01 03:00:00+00:00,7.2785,1006.6075,0.0,10.30883,18.72
2018-12-01 04:00:00+00:00,7.4785004,1005.3141,0.0,8.669949,18.72
2018-12-01 05:00:00+00:00,7.6285,1004.7176,0.0,11.165805,19.08
2018-12-01 06:00:00+00:00,8.3785,1004.128,0.2,14.04,25.199999
2018-12-01 07:00:00+00:00,8.8285,1002.93677,0.7,16.923828,31.319998
2018-12-01 08:00:00+00:00,9.1285,1002.0427,1.7,18.806337,35.64
2018-12-01 09:00:00+00:00,9.278501,1000.8484,1.3,22.314192,41.039997
2018-12-01 10:00:00+00:00,9.778501,999.5581,1.3,25.420181,51.839996
2018-12-01 11:00:00+00:00,10.278501,998.46686,0.2,25.325686,48.6
2018-12-01 12:00:00+00:00,10.778501,997.67505,0.1,22.319998,47.519997
2018-12-01 13:00:00+00:00,12.028501,996.5922,0.0,20.858265,42.12
2018-12-01 14:00:00+00:00,12.8785,996.20245,0.0,20.771093,39.6
2018-12-01 15:00:00+00:00,12.8285,996.0025,0.0,18.581022,38.88
2018-12-01 16:00:00+00:00,12.4785,996.0984,0.1,18.075441,35.28
2018-12-01 17:00:00+00:00,12.278501,996.3953,0.0,18.289274,34.2
2018-12-01 18:00:00+00:00,11.9285,995.59406,0.0,14.186923,33.839996
2018-12-01 19:00:00+00:00,11.778501,995.89154,0.0,16.831684,30.960001
2018-12-01 20:00:00+00:00,11.528501,995.78906,0.0,16.548256,31.68
2018-12-01 21:00:00+00:00,10.9285,995.8822,0.0,12.7279215,30.599998
2018-12-01 22:00:00+00:00,10.9285,995.78253,0.2,14.904173,35.28
2018-12-01 23:00:00+00:00,10.2285,994.5785,1.3,10.787993,37.079998
2018-12-02 00:00:00+00:00,10.5785,993.3862,1.0,15.596767,37.8
2018-12-02 01:00:00+00:00,11.8285,992.5027,0.7,19.272614,36.719997
2018-12-02 02:00:00+00:00,12.5785,991.9127,0.0,23.166216,43.56
2018-12-02 03:00:00+00:00,12.6785,992.01337,0.0,21.028437,43.92
2018-12-02 04:00:00+00:00,12.9285,991.7171,0.0,21.599998,40.32
2018-12-02 05:00:00+00:00,12.8285,991.81555,0.0,21.413193,40.68
